logic_type,mean_slope,mean_convergence_time,mean_final_disagreement,mean_actual_repeats
cascade,-0.3334107720024038,112.15763157894736,3.871510295789711e-06,16.513157894736842
heterogeneous_cascade,-0.332404622138795,112.57434210526316,3.7945820214832674e-06,16.38157894736842
independent,-0.5042323192193596,110.2513157894737,5.439802197698033e-06,21.907894736842106
