network_type,mean_slope,mean_convergence_time,mean_final_disagreement,mean_actual_repeats
cycle_baseline,-0.1535738692449454,299.58362573099413,1.743105165927286e-05,10.350877192982455
random_strong,-0.3314199782985865,65.38134502923977,3.359531468002241e-08,27.36842105263158
scale_free,-0.5514089232864932,37.01777777777778,5.427572904475465e-09,19.29824561403509
small_world,-0.5236608469840529,44.66163742690058,4.4514731039901355e-09,16.05263157894737
